"Offense","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","Season #G","Season SOS","Playoffs #G","Playoffs SOS","All #G","All SOS"
"NO","2.581823986953266","5.012449992098835","8.946208641571268","5.7685294095290764","4.087155855972627","7.489321056304243","3.67332786133054","","1.301706346464796","6.498145347015973","5.732412657010593","10","4.276125384829467","6.498145347015973","6.701004584785907","9.71587560189994","5.7685294095290764","13","7.4245986034128","3","10","16","9.96393573718432"
"NYG","6.934583605055802","0","3.462572197012433","9.71587560189994","6.190266057546619","5.018623728771082","1.2850672436270159","","4.146618278980155","6.190266057546619","3.6047992629622354","6.152895678742918","9.922084685876712","2.2563776161819153","1.301706346464796","2.581823986953266","6.934583605055802","13","4.913582643990831","3","1.920448278521337","16","3.3662361865981945"
"NYJ","3.462572197012433","4.276125384829467","2.581823986953266","6.0739479391314575","1.301706346464796","3.3540770523030696","6.221502639787991","8.946208641571268","3.453747385313366","7.984412120249907","2.839624919992925","6.221502639787991","","0.8003006257901715","9.71587560189994","3.327943655590678","4.087155855972627","13","2.0807170810831157","3","6.407451160258394","16","4.2680672336455245"
"PHI","6.190266057546619","3.462572197012433","6.0739479391314575","0","4.116607578152745","6.549173437579665","6.934583605055802","6.190266057546619","7.430967776037032","","3.1229577388088674","6.934583605055802","9.71587560189994","6.152895678742918","2.2563776161819153","1.2850672436270159","9.922084685876712","13","7.454012905911879","3","3.800734748304415","16","7.066084491110774"
"PIT","5.7685294095290764","3.327943655590678","10","1.301706346464796","6.152895678742918","6.753625671351352","4.979520964341702","1.301706346464796","","10","3.637420655908554","0.8003006257901715","1.2850672436270159","4.116607578152745","5.012449992098835","6.498145347015973","3.462572197012433","13","2.527199931007061","3","4.873742664323192","16","3.5422193170467327"
"SEA","3.327943655590678","9.71587560189994","6.190266057546619","3.412670185735127","9.922084685876712","0.8065851593963264","3.453747385313366","6.0739479391314575","9.71587560189994","8.946208641571268","","9.922084685876712","6.934583605055802","7.430967776037032","4.146618278980155","0","6.498145347015973","13","9.970157668978493","3","1.797235787374022","16","8.155444153963403"
"SF","0","6.221502639787991","9.71587560189994","0.8003006257901715","2.2563776161819153","6.238876459458127","5.7685294095290764","","8.946208641571268","6.934583605055802","3.5727854753566515","2.2563776161819153","7.430967776037032","0","3.412670185735127","3.453747385313366","4.146618278980155","13","6.65289488470192","3","2.058993251175752","16","5.557970581084792"
"TB","10","1.301706346464796","4.087155855972627","4.276125384829467","6.934583605055802","3.7021734621548097","6.498145347015973","5.7685294095290764","6.0739479391314575","","1.9365017145640273","6.498145347015973","3.412670185735127","5.012449992098835","4.979520964341702","5.7685294095290764","0","13","5.0908407572068075","3","1.8706490816810346","16","3.905250678258273"
"TEN","3.8621458048320583","4.146618278980155","7.430967776037032","5.012449992098835","1.2850672436270159","6.201212621679263","1.301706346464796","10","","4.116607578152745","6.667916776131077","4.116607578152745","6.190266057546619","2.581823986953266","6.152895678742918","8.946208641571268","3.67332786133054","13","4.856558819314593","3","7.574152342340125","16","6.345293893440028"
"WAS","4.146618278980155","6.934583605055802","2.2563776161819153","6.152895678742918","7.430967776037032","10","","4.146618278980155","0","7.430967776037032","10","9.71587560189994","3.462572197012433","1.2850672436270159","5.7685294095290764","4.087155855972627","4.116607578152745","13","7.900653252155127","3","4.162349287390478","16","7.609479570603054"
